Drug1,Drug2,cell,drug1_db,drug2_db,synergy,synergy_score
MEGESTROL ACETATE,DOCETAXEL,KM12,DB00351,DB01248,7.27,1
PRALATREXATE,METHOTREXATE,KM12,DB06813,DB00563,7.28,1
TRETINOIN,CARMUSTINE,KM12,DB00755,DB00262,7.29,1
ABIRATERONE,PEMETREXED,KM12,DB05812,DB00642,7.35,1
IMATINIB,NILOTINIB,KM12,DB00619,DB04868,7.48,1
VANDETANIB,THALIDOMIDE,KM12,DB05294,DB01041,7.49,1
VISMODEGIB,PACLITAXEL,KM12,DB08828,DB01229,7.51,1
CELECOXIB,CARMUSTINE,KM12,DB00482,DB00262,7.54,1
CRIZOTINIB,RALOXIFENE,KM12,DB08865,DB00481,7.61,1
CABAZITAXEL,VANDETANIB,KM12,DB06772,DB05294,7.66,1
LETROZOLE,FLUDARABINE BASE,KM12,DB01006,DB01073,7.68,1
FLUDARABINE BASE,QUINACRINE HYDROCHLORIDE,KM12,DB01073,DB01103,7.73,1
GEFITINIB,PACLITAXEL,KM12,DB00317,DB01229,7.85,1
ANASTROZOLE,AMIFOSTINE,KM12,DB01217,DB01143,7.94,1
TRETINOIN,HYDROXYUREA,KM12,DB00755,DB01005,7.98,1
ABIRATERONE,PACLITAXEL,KM12,DB05812,DB01229,7.99,1
GEFITINIB,DAUNORUBICIN HYDROCHLORIDE,KM12,DB00317,DB00694,8.08,1
RALOXIFENE,LAPATINIB,KM12,DB00481,DB01259,8.1,1
RALOXIFENE,IMIQUIMOD,KM12,DB00481,DB00724,8.18,1
CRIZOTINIB,LAPATINIB,KM12,DB08865,DB01259,8.21,1
VANDETANIB,PACLITAXEL,KM12,DB05294,DB01229,8.24,1
CABAZITAXEL,PEMETREXED,KM12,DB06772,DB00642,8.26,1
RUXOLITINIB,PEMETREXED,KM12,DB08877,DB00642,8.28,1
ZOLEDRONIC ACID,AMIFOSTINE,KM12,DB00399,DB01143,8.32,1
LOMUSTINE,METHOXSALEN,KM12,DB01206,DB00553,8.4,1
CELECOXIB,NILOTINIB,KM12,DB00482,DB04868,8.46,1
DEXRAZOXANE,METHOXSALEN,KM12,DB00380,DB00553,8.46,1
CABAZITAXEL,LAPATINIB,KM12,DB06772,DB01259,8.58,1
CABAZITAXEL,LENALIDOMIDE,KM12,DB06772,DB00480,8.59,1
CELECOXIB,AZACYTIDINE,KM12,DB00482,DB00928,8.72,1
FULVESTRANT,AMIFOSTINE,KM12,DB00947,DB01143,8.74,1
CABAZITAXEL,DAUNORUBICIN HYDROCHLORIDE,KM12,DB06772,DB00694,8.78,1
PAZOPANIB HYDROCHLORIDE,DAUNORUBICIN HYDROCHLORIDE,KM12,DB06589,DB00694,8.8,1
VEMURAFENIB,METHOTREXATE,KM12,DB08881,DB00563,8.85,1
GEFITINIB,MERCAPTOPURINE,KM12,DB00317,DB01033,8.94,1
IMATINIB,IXABEPILONE,KM12,DB00619,DB04845,9.08,1
CRIZOTINIB,PAZOPANIB HYDROCHLORIDE,KM12,DB08865,DB06589,9.11,1
DAUNORUBICIN HYDROCHLORIDE,MEGESTROL ACETATE,KM12,DB00694,DB00351,9.13,1
CABAZITAXEL,HYDROXYUREA,KM12,DB06772,DB01005,9.13,1
DAUNORUBICIN HYDROCHLORIDE,METHOXSALEN,KM12,DB00694,DB00553,9.31,1
MITOXANTRONE,LAPATINIB,KM12,DB01204,DB01259,9.4,1
LOMUSTINE,THALIDOMIDE,KM12,DB01206,DB01041,9.44,1
MITOXANTRONE,THALIDOMIDE,KM12,DB01204,DB01041,9.55,1
RUXOLITINIB,THALIDOMIDE,KM12,DB08877,DB01041,9.6,1
ANASTROZOLE,METHOTREXATE,KM12,DB01217,DB00563,9.63,1
CRIZOTINIB,PEMETREXED,KM12,DB08865,DB00642,9.64,1
VANDETANIB,METHOXSALEN,KM12,DB05294,DB00553,9.7,1
ABIRATERONE,THALIDOMIDE,KM12,DB05812,DB01041,9.77,1
DEXRAZOXANE,THALIDOMIDE,KM12,DB00380,DB01041,9.83,1
CRIZOTINIB,THALIDOMIDE,KM12,DB08865,DB01041,9.86,1
CABAZITAXEL,CYTARABINE HYDROCHLORIDE,KM12,DB06772,DB00987,9.92,1
ALLOPURINOL,AMIFOSTINE,KM12,DB00437,DB01143,9.97,1
TENIPOSIDE,VEMURAFENIB,KM12,DB00444,DB08881,10.03,1
LETROZOLE,AMIFOSTINE,KM12,DB01006,DB01143,10.07,1
VEMURAFENIB,CABAZITAXEL,KM12,DB08881,DB06772,10.12,1
DACARBAZINE,THALIDOMIDE,KM12,DB00851,DB01041,10.13,1
LETROZOLE,NILOTINIB,KM12,DB01006,DB04868,10.22,1
LENALIDOMIDE,METHOXSALEN,KM12,DB00480,DB00553,10.26,1
RUXOLITINIB,METHOXSALEN,KM12,DB08877,DB00553,10.27,1
VISMODEGIB,MITOTANE,KM12,DB08828,DB00648,10.46,1
VANDETANIB,DOCETAXEL,KM12,DB05294,DB01248,10.48,1
GEFITINIB,TENIPOSIDE,KM12,DB00317,DB00444,10.48,1
ABIRATERONE,DOCETAXEL,KM12,DB05812,DB01248,10.65,1
RALOXIFENE,IMATINIB,KM12,DB00481,DB00619,10.69,1
MEGESTROL ACETATE,ARSENIC TRIOXIDE,KM12,DB00351,DB01169,10.73,1
RALOXIFENE,VEMURAFENIB,KM12,DB00481,DB08881,10.765,1
DASATINIB,AMIFOSTINE,KM12,DB01254,DB01143,10.83,1
DACARBAZINE,TRETINOIN,KM12,DB00851,DB00755,10.86,1
VEMURAFENIB,PAZOPANIB HYDROCHLORIDE,KM12,DB08881,DB06589,11.03,1
RALOXIFENE,DAUNORUBICIN HYDROCHLORIDE,KM12,DB00481,DB00694,11.08,1
CRIZOTINIB,CYTARABINE HYDROCHLORIDE,KM12,DB08865,DB00987,11.11,1
CRIZOTINIB,DAUNORUBICIN HYDROCHLORIDE,KM12,DB08865,DB00694,11.21,1
MITOXANTRONE,METHOXSALEN,KM12,DB01204,DB00553,11.38,1
DOCETAXEL,SORAFENIB,KM12,DB01248,DB00398,11.47,1
TRETINOIN,SORAFENIB,KM12,DB00755,DB00398,11.55,1
LAPATINIB,TOPOTECAN HYDROCHLORIDE,KM12,DB01259,DB01030,11.58,1
RALOXIFENE,CABAZITAXEL,KM12,DB00481,DB06772,11.58,1
CABAZITAXEL,MEGESTROL ACETATE,KM12,DB06772,DB00351,11.59,1
LAPATINIB,FULVESTRANT,KM12,DB01259,DB00947,11.81,1
CARMUSTINE,ERLOTINIB HYDROCHLORIDE,KM12,DB00262,DB00530,11.83,1
MITOXANTRONE,MEGESTROL ACETATE,KM12,DB01204,DB00351,11.85,1
CELECOXIB,PACLITAXEL,KM12,DB00482,DB01229,11.98,1
CABAZITAXEL,MITOTANE,KM12,DB06772,DB00648,12.08,1
THALIDOMIDE,AMIFOSTINE,KM12,DB01041,DB01143,12.15,1
SORAFENIB,MITOTANE,KM12,DB00398,DB00648,12.33,1
RUXOLITINIB,MITOXANTRONE,KM12,DB08877,DB01204,12.36,1
METHOXSALEN,AMIFOSTINE,KM12,DB00553,DB01143,12.5,1
LETROZOLE,AZACYTIDINE,KM12,DB01006,DB00928,12.55,1
GEFITINIB,ALLOPURINOL,KM12,DB00317,DB00437,12.6,1
VISMODEGIB,THALIDOMIDE,KM12,DB08828,DB01041,12.72,1
PAZOPANIB HYDROCHLORIDE,PEMETREXED,KM12,DB06589,DB00642,12.78,1
DOCETAXEL,LAPATINIB,KM12,DB01248,DB01259,12.84,1
TRETINOIN,PACLITAXEL,KM12,DB00755,DB01229,13.05,1
VEMURAFENIB,PACLITAXEL,KM12,DB08881,DB01229,13.72,1
CRIZOTINIB,METHOXSALEN,KM12,DB08865,DB00553,13.81,1
TENIPOSIDE,METHOXSALEN,KM12,DB00444,DB00553,13.9,1
TENIPOSIDE,MEGESTROL ACETATE,KM12,DB00444,DB00351,14.03,1
IMATINIB,PACLITAXEL,KM12,DB00619,DB01229,14.24,1
PAZOPANIB HYDROCHLORIDE,MITOXANTRONE,KM12,DB06589,DB01204,14.29,1
VANDETANIB,DAUNORUBICIN HYDROCHLORIDE,KM12,DB05294,DB00694,14.38,1
CELECOXIB,DOCETAXEL,KM12,DB00482,DB01248,14.39,1
VISMODEGIB,MITOXANTRONE,KM12,DB08828,DB01204,14.45,1
PACLITAXEL,AMIFOSTINE,KM12,DB01229,DB01143,14.5,1
HYDROXYUREA,MITOTANE,KM12,DB01005,DB00648,14.5,1
MEGESTROL ACETATE,METHOXSALEN,KM12,DB00351,DB00553,14.63,1
THALIDOMIDE,ERLOTINIB HYDROCHLORIDE,KM12,DB01041,DB00530,14.83,1
CABAZITAXEL,METHOXSALEN,KM12,DB06772,DB00553,14.86,1
VANDETANIB,PEMETREXED,KM12,DB05294,DB00642,15.02,1
PACLITAXEL,DASATINIB,KM12,DB01229,DB01254,15.04,1
DASATINIB,ALLOPURINOL,KM12,DB01254,DB00437,15.05,1
NILOTINIB,DOCETAXEL,KM12,DB04868,DB01248,15.16,1
THALIDOMIDE,IMIQUIMOD,KM12,DB01041,DB00724,15.59,1
FULVESTRANT,DOCETAXEL,KM12,DB00947,DB01248,15.64,1
METHOTREXATE,IMATINIB,KM12,DB00563,DB00619,15.73,1
VISMODEGIB,METHOXSALEN,KM12,DB08828,DB00553,15.93,1
TRETINOIN,DOCETAXEL,KM12,DB00755,DB01248,16.22,1
VEMURAFENIB,METHOXSALEN,KM12,DB08881,DB00553,16.35,1
CABAZITAXEL,RALOXIFENE,KM12,DB06772,DB00481,16.38,1
IMIQUIMOD,ERLOTINIB HYDROCHLORIDE,KM12,DB00724,DB00530,16.39,1
AMIFOSTINE,ERLOTINIB HYDROCHLORIDE,KM12,DB01143,DB00530,16.53,1
TAMOXIFEN CITRATE,PACLITAXEL,KM12,DB00675,DB01229,16.67,1
NILOTINIB,PACLITAXEL,KM12,DB04868,DB01229,16.67,1
IMATINIB,DOCETAXEL,KM12,DB00619,DB01248,17.52,1
VEMURAFENIB,PEMETREXED,KM12,DB08881,DB00642,18.19,1
GEFITINIB,MITOXANTRONE,KM12,DB00317,DB01204,18.44,1
CRIZOTINIB,MITOXANTRONE,KM12,DB08865,DB01204,18.53,1
METHOXSALEN,ERLOTINIB HYDROCHLORIDE,KM12,DB00553,DB00530,18.85,1
IXABEPILONE,ERLOTINIB HYDROCHLORIDE,KM12,DB04845,DB00530,19.08,1
VEMURAFENIB,DAUNORUBICIN HYDROCHLORIDE,KM12,DB08881,DB00694,19.42,1
ABIRATERONE,MITOXANTRONE,KM12,DB05812,DB01204,19.68,1
METHOXSALEN,IMIQUIMOD,KM12,DB00553,DB00724,20.07,1
CABAZITAXEL,THALIDOMIDE,KM12,DB06772,DB01041,20.08,1
DACARBAZINE,METHOXSALEN,KM12,DB00851,DB00553,20.22,1
VANDETANIB,MITOXANTRONE,KM12,DB05294,DB01204,21.14,1
VEMURAFENIB,MITOXANTRONE,KM12,DB08881,DB01204,22.48,1
PACLITAXEL,LAPATINIB,KM12,DB01229,DB01259,22.71,1
PACLITAXEL,SORAFENIB,KM12,DB01229,DB00398,26.65,1
TAMOXIFEN CITRATE,DOCETAXEL,KM12,DB00675,DB01248,32.47,1
GEMCITABINE,GELDANAMYCIN,KPL1,DB00441,DB02424,-16.9275,0
DOXORUBICIN,GELDANAMYCIN,KPL1,DB00997,DB02424,-12.41,0
PACLITAXEL,GELDANAMYCIN,KPL1,DB01229,DB02424,-11.5375,0
VINORELBINE,GELDANAMYCIN,KPL1,DB00361,DB02424,-11.0975,0
DEXAMETHASONE,LAPATINIB,KPL1,DB01234,DB01259,-9.84,0
METHOTREXATE,GELDANAMYCIN,KPL1,DB00563,DB02424,-9.83,0
5-FU,GELDANAMYCIN,KPL1,DB00544,DB02424,-9.6175,0
GEMCITABINE,SUNITINIB,KPL1,DB00441,DB01268,-9.455,0
SUNITINIB,GELDANAMYCIN,KPL1,DB01268,DB02424,-9.13,0
DEXAMETHASONE,ERLOTINIB,KPL1,DB01234,DB00530,-8.4025,0
GEMCITABINE,BORTEZOMIB,KPL1,DB00441,DB00188,-8.065,0
GEMCITABINE,LAPATINIB,KPL1,DB00441,DB01259,-8.0625,0
PACLITAXEL,BORTEZOMIB,KPL1,DB01229,DB00188,-7.9275,0
DEXAMETHASONE,GELDANAMYCIN,KPL1,DB01234,DB02424,-7.6975,0
DOXORUBICIN,SORAFENIB,KPL1,DB00997,DB00398,-7.6375,0
GEMCITABINE,SORAFENIB,KPL1,DB00441,DB00398,-7.4375,0
DOXORUBICIN,SUNITINIB,KPL1,DB00997,DB01268,-7.4175,0
METHOTREXATE,SUNITINIB,KPL1,DB00563,DB01268,-7.3925,0
BORTEZOMIB,GELDANAMYCIN,KPL1,DB00188,DB02424,-6.69,0
METHOTREXATE,SORAFENIB,KPL1,DB00563,DB00398,-6.4775,0
SUNITINIB,SORAFENIB,KPL1,DB01268,DB00398,-6.4675,0
LAPATINIB,ERLOTINIB,KPL1,DB01259,DB00530,-6.2525,0
5-FU,SORAFENIB,KPL1,DB00544,DB00398,-6.225,0
GELDANAMYCIN,SORAFENIB,KPL1,DB02424,DB00398,-6.2225,0
5-FU,LAPATINIB,KPL1,DB00544,DB01259,-6.035,0
DEXAMETHASONE,BORTEZOMIB,KPL1,DB01234,DB00188,-6.0325,0
DOXORUBICIN,BORTEZOMIB,KPL1,DB00997,DB00188,-6,0
5-FU,BORTEZOMIB,KPL1,DB00544,DB00188,-5.89,0
PACLITAXEL,SORAFENIB,KPL1,DB01229,DB00398,-5.8325,0
ERLOTINIB,DASATINIB,KPL1,DB00530,DB01254,-5.785,0
5-FU,ERLOTINIB,KPL1,DB00544,DB00530,-5.6775,0
VINORELBINE,ERLOTINIB,KPL1,DB00361,DB00530,-5.4575,0
ETOPOSIDE,LAPATINIB,KPL1,DB00773,DB01259,-5.115,0
VINORELBINE,BORTEZOMIB,KPL1,DB00361,DB00188,-5.095,0
ETOPOSIDE,BORTEZOMIB,KPL1,DB00773,DB00188,-4.995,0
GELDANAMYCIN,TOPOTECAN,KPL1,DB02424,DB01030,-4.8,0
PACLITAXEL,SUNITINIB,KPL1,DB01229,DB01268,-4.7725,0
ETOPOSIDE,GELDANAMYCIN,KPL1,DB00773,DB02424,-4.765,0
ETOPOSIDE,ERLOTINIB,KPL1,DB00773,DB00530,-4.695,0
METFORMIN,BORTEZOMIB,KPL1,DB00331,DB00188,-4.4325,0
PACLITAXEL,LAPATINIB,KPL1,DB01229,DB01259,-4.405,0
BORTEZOMIB,TOPOTECAN,KPL1,DB00188,DB01030,-4.3275,0
VINBLASTINE,GELDANAMYCIN,KPL1,DB00570,DB02424,-4.1325,0
DASATINIB,TOPOTECAN,KPL1,DB01254,DB01030,-3.805,0
VINORELBINE,SORAFENIB,KPL1,DB00361,DB00398,-3.735,0
5-FU,DASATINIB,KPL1,DB00544,DB01254,-3.6775,0
VINORELBINE,LAPATINIB,KPL1,DB00361,DB01259,-3.45,0
METHOTREXATE,BORTEZOMIB,KPL1,DB00563,DB00188,-3.4075,0
5-FU,SUNITINIB,KPL1,DB00544,DB01268,-3.285,0
DOXORUBICIN,ERLOTINIB,KPL1,DB00997,DB00530,-3.255,0
DEXAMETHASONE,SORAFENIB,KPL1,DB01234,DB00398,-3.0075,0
PACLITAXEL,ERLOTINIB,KPL1,DB01229,DB00530,-2.84,0
TOPOTECAN,SORAFENIB,KPL1,DB01030,DB00398,-2.7025,0
DOXORUBICIN,LAPATINIB,KPL1,DB00997,DB01259,-2.59,0
VINORELBINE,SUNITINIB,KPL1,DB00361,DB01268,-2.41,0
PACLITAXEL,DASATINIB,KPL1,DB01229,DB01254,-2.3625,0
BORTEZOMIB,SORAFENIB,KPL1,DB00188,DB00398,-2.24,0
GEMCITABINE,ERLOTINIB,KPL1,DB00441,DB00530,-2.0675,0
METHOTREXATE,LAPATINIB,KPL1,DB00563,DB01259,-2.005,0
LAPATINIB,DASATINIB,KPL1,DB01259,DB01254,-1.9175,0
LAPATINIB,TOPOTECAN,KPL1,DB01259,DB01030,-1.5625,0
METHOTREXATE,DASATINIB,KPL1,DB00563,DB01254,-1.43,0
METFORMIN,DASATINIB,KPL1,DB00331,DB01254,-1.215,0
ETOPOSIDE,DASATINIB,KPL1,DB00773,DB01254,-1.1075,0
SUNITINIB,TOPOTECAN,KPL1,DB01268,DB01030,-0.6475,0
GEMCITABINE,DASATINIB,KPL1,DB00441,DB01254,-0.5975,0
ERLOTINIB,GELDANAMYCIN,KPL1,DB00530,DB02424,-0.585,0
VINBLASTINE,DASATINIB,KPL1,DB00570,DB01254,-0.58,0
DASATINIB,SORAFENIB,KPL1,DB01254,DB00398,-0.495,0
DASATINIB,GELDANAMYCIN,KPL1,DB01254,DB02424,-0.4625,0
SUNITINIB,BORTEZOMIB,KPL1,DB01268,DB00188,-0.2475,0
ERLOTINIB,BORTEZOMIB,KPL1,DB00530,DB00188,-0.05,0
DOXORUBICIN,DASATINIB,KPL1,DB00997,DB01254,-0.0125,0
METFORMIN,ERLOTINIB,KPL1,DB00331,DB00530,-0.0075,0
VINORELBINE,DASATINIB,KPL1,DB00361,DB01254,0.0275,1
ETOPOSIDE,SORAFENIB,KPL1,DB00773,DB00398,0.755,1
BORTEZOMIB,DASATINIB,KPL1,DB00188,DB01254,0.825,1
METFORMIN,GELDANAMYCIN,KPL1,DB00331,DB02424,1.08,1
VINBLASTINE,LAPATINIB,KPL1,DB00570,DB01259,1.53,1
METFORMIN,LAPATINIB,KPL1,DB00331,DB01259,1.575,1
ERLOTINIB,TOPOTECAN,KPL1,DB00530,DB01030,1.7975,1
METHOTREXATE,ERLOTINIB,KPL1,DB00563,DB00530,1.9,1
METFORMIN,SORAFENIB,KPL1,DB00331,DB00398,2.2525,1
ERLOTINIB,SORAFENIB,KPL1,DB00530,DB00398,2.415,1
ETOPOSIDE,SUNITINIB,KPL1,DB00773,DB01268,2.705,1
LAPATINIB,GELDANAMYCIN,KPL1,DB01259,DB02424,2.8225,1
LAPATINIB,BORTEZOMIB,KPL1,DB01259,DB00188,2.93,1
VINBLASTINE,BORTEZOMIB,KPL1,DB00570,DB00188,3.19,1
LAPATINIB,SORAFENIB,KPL1,DB01259,DB00398,3.7325,1
SUNITINIB,DASATINIB,KPL1,DB01268,DB01254,3.96,1
DEXAMETHASONE,SUNITINIB,KPL1,DB01234,DB01268,4.1875,1
SUNITINIB,ERLOTINIB,KPL1,DB01268,DB00530,4.58,1
VINBLASTINE,SUNITINIB,KPL1,DB00570,DB01268,5.5,1
DEXAMETHASONE,DASATINIB,KPL1,DB01234,DB01254,5.915,1
METFORMIN,SUNITINIB,KPL1,DB00331,DB01268,6.3875,1
VINBLASTINE,SORAFENIB,KPL1,DB00570,DB00398,6.7825,1
SUNITINIB,LAPATINIB,KPL1,DB01268,DB01259,8.535,1
VINBLASTINE,ERLOTINIB,KPL1,DB00570,DB00530,11.8225,1
ZOLEDRONIC ACID,RUXOLITINIB,L1236,DB00399,DB08877,-10.87,0
LEFLUNOMIDE,RUXOLITINIB,L1236,DB01097,DB08877,-10.6015,0
RISPERIDONE,RUXOLITINIB,L1236,DB00734,DB08877,-10.37,0
2-FLUORO ARA-A,Flavopiridol,L1236,DB01073,DB03496,-10.24,0
IMIQUIMOD,RUXOLITINIB,L1236,DB00724,DB08877,-9.618,0
ASENAPINE,RUXOLITINIB,L1236,DB06216,DB08877,-9.1105,0
Y-27632,RUXOLITINIB,L1236,DB08756,DB08877,-9,0
MIRTAZAPINE,RUXOLITINIB,L1236,DB00370,DB08877,-7.491,0
Olopatadine hydrochloride,Ruxolitinib,L1236,DB00768,DB08877,-7.421,0
CCT-018159,Ruxolitinib,L1236,DB07594,DB08877,-7.392,0
CITALOPRAM,RUXOLITINIB,L1236,DB00215,DB08877,-7.3675,0
oxybutynin,RUXOLITINIB,L1236,DB01062,DB08877,-7.3,0
Medroxyprogesterone acetate,Ruxolitinib,L1236,DB00603,DB08877,-6.743,0
Prednisolone,Ruxolitinib,L1236,DB00860,DB08877,-6.2825,0
RALOXIFENE,RUXOLITINIB,L1236,DB00481,DB08877,-6.0385,0
PP-121,Ruxolitinib,L1236,DB08052,DB08877,-5.927,0
ticlopidine,RUXOLITINIB,L1236,DB00208,DB08877,-5.911,0
ciprofloxacin,RUXOLITINIB,L1236,DB00537,DB08877,-5.7795,0
METHOTREXATE,RUXOLITINIB,L1236,DB00563,DB08877,-5.762,0
RUXOLITINIB,RUXOLITINIB,L1236,DB08877,DB08877,-5.6985,0
Rocuronium bromide,Ruxolitinib,L1236,DB00728,DB08877,-5.638,0
nilutamide,RUXOLITINIB,L1236,DB00665,DB08877,-5.2235,0
FENOFIBRATE,RUXOLITINIB,L1236,DB01039,DB08877,-5.212,0
Sunitinib malate,Ruxolitinib,L1236,DB01268,DB08877,-5.093,0
RILUZOLE,RUXOLITINIB,L1236,DB00740,DB08877,-5.0845,0
Everolimus,Ruxolitinib,L1236,DB01590,DB08877,-4.872,0
CRIZOTINIB,RUXOLITINIB,L1236,DB08865,DB08877,-4.8565,0
ARECOLINE,RUXOLITINIB,L1236,DB04365,DB08877,-4.8395,0
suramin,RUXOLITINIB,L1236,DB04786,DB08877,-4.71,0
Clofarabine,Ruxolitinib,L1236,DB00631,DB08877,-4.659,0
FISETIN,RUXOLITINIB,L1236,DB07795,DB08877,-4.491,0
Pimecrolimus,Ruxolitinib,L1236,DB00337,DB08877,-4.484,0
Tesmilifene,RUXOLITINIB,L1236,DB04905,DB08877,-4.4155,0
HYDRALAZINE,RUXOLITINIB,L1236,DB01275,DB08877,-4.38,0
Abiraterone,Ruxolitinib,L1236,DB05812,DB08877,-4.378,0
Almotriptan,RUXOLITINIB,L1236,DB00918,DB08877,-4.1405,0
NIFLUMIC ACID,RUXOLITINIB,L1236,DB04552,DB08877,-3.998,0
PRASUGREL,RUXOLITINIB,L1236,DB06209,DB08877,-3.9095,0
OLMESARTAN,RUXOLITINIB,L1236,DB00275,DB08877,-3.747,0
7-Hydroxystaurosporine,Ruxolitinib,L1236,DB01933,DB08877,-3.733,0
FLUPHENAZINE,RUXOLITINIB,L1236,DB00623,DB08877,-3.713,0
mianserin,RUXOLITINIB,L1236,DB06148,DB08877,-3.57,0
PROCHLORPERAZINE DIMALEATE,RUXOLITINIB,L1236,DB00433,DB08877,-3.552,0
Levonorgestrel,Ruxolitinib,L1236,DB00367,DB08877,-3.438,0
Wortmannin from Penicillium funiculosum,RUXOLITINIB,L1236,DB08059,DB08877,-3.361,0
Rifaximin,Ruxolitinib,L1236,DB01220,DB08877,-3.28,0
Geldanamycin,Ruxolitinib,L1236,DB02424,DB08877,-3.227,0
AT-7519,Ruxolitinib,L1236,DB08142,DB08877,-3.198,0
BORTEZOMIB,RUXOLITINIB,L1236,DB00188,DB08877,-3.13725,0
ROLIPRAM,RUXOLITINIB,L1236,DB01954,DB08877,-3.089,0
Pyridone 6,RUXOLITINIB,L1236,DB04716,DB08877,-2.7915,0
MILRINONE,RUXOLITINIB,L1236,DB00235,DB08877,-2.7905,0
AMISULPRIDE,RUXOLITINIB,L1236,DB06288,DB08877,-2.701,0
Scopolamine,Ruxolitinib,L1236,DB00747,DB08877,-2.667,0
AMG-208,RUXOLITINIB,L1236,DB08079,DB08877,-2.5615,0
Pefloxacin,RUXOLITINIB,L1236,DB00487,DB08877,-2.4805,0
PP-121,Flavopiridol,L1236,DB08052,DB03496,-2.446,0
Dapagliflozin,Ruxolitinib,L1236,DB06292,DB08877,-2.432,0
ILOPERIDONE,RUXOLITINIB,L1236,DB04946,DB08877,-2.3505,0
NIMESULIDE,RUXOLITINIB,L1236,DB04743,DB08877,-2.229,0
pantoprazole,RUXOLITINIB,L1236,DB00213,DB08877,-2.2055,0
Pitavastatin calcium,Ruxolitinib,L1236,DB08860,DB08877,-2.088,0
DOXORUBICIN HYDROCHLORIDE,RUXOLITINIB,L1236,DB00997,DB08877,-2.055666667,0
VORICONAZOLE,RUXOLITINIB,L1236,DB00582,DB08877,-1.9895,0
PONATINIB (AP24534),VINCRISTINE,L1236,DB08901,DB00541,-1.91,0
LENALIDOMIDE,RUXOLITINIB,L1236,DB00480,DB08877,-1.901,0
TAZAROTENE,RUXOLITINIB,L1236,DB00799,DB08877,-1.75,0
REGORAFENIB (BAY 73-4506),RUXOLITINIB,L1236,DB08896,DB08877,-1.731,0
GEMFIBROZIL,RUXOLITINIB,L1236,DB01241,DB08877,-1.71,0
2-FLUORO ARA-A,RUXOLITINIB,L1236,DB01073,DB08877,-1.5,0
Piceatannol,Ruxolitinib,L1236,DB08399,DB08877,-1.42,0
VERAPAMIL,RUXOLITINIB,L1236,DB00661,DB08877,-1.391,0
fenoldopam,RUXOLITINIB,L1236,DB00800,DB08877,-1.3595,0
CLADRIBINE,RUXOLITINIB,L1236,DB00242,DB08877,-1.2765,0
AGOMELATINE,RUXOLITINIB,L1236,DB06594,DB08877,-1.2455,0
Piboserod,RUXOLITINIB,L1236,DB04873,DB08877,-1.2435,0
PIOGLITAZONE,RUXOLITINIB,L1236,DB01132,DB08877,-1.1385,0
Moxifloxacin hydrochloride monohydrate,RUXOLITINIB,L1236,DB00218,DB08877,-1.102,0
ETODOLAC,RUXOLITINIB,L1236,DB00749,DB08877,-1.082,0
NAPROXEN,RUXOLITINIB,L1236,DB00788,DB08877,-1.0735,0
CLOFIBRATE,RUXOLITINIB,L1236,DB00636,DB08877,-0.9315,0
Rifampicin,Ruxolitinib,L1236,DB01045,DB08877,-0.926,0
CAMPTOTHECIN,RUXOLITINIB,L1236,DB04690,DB08877,-0.8255,0
PD-0325901,Ruxolitinib,L1236,DB07101,DB08877,-0.8115,0
D-PANTOTHENIC ACID,RUXOLITINIB,L1236,DB01783,DB08877,-0.7445,0
FLUTICASONE PROPIONATE,RUXOLITINIB,L1236,DB00588,DB08877,-0.7355,0
MENADIONE,RUXOLITINIB,L1236,DB00170,DB08877,-0.6995,0
Methylene Blue cation,RUXOLITINIB,L1236,DB08167,DB08877,-0.66,0
dobutamine,RUXOLITINIB,L1236,DB00841,DB08877,-0.6325,0
PONATINIB (AP24534),RUXOLITINIB,L1236,DB08901,DB08877,-0.6295,0
ELACRIDAR,RUXOLITINIB,L1236,DB04881,DB08877,-0.608,0
NELARABINE,RUXOLITINIB,L1236,DB01280,DB08877,-0.589,0
DORSOMORPHIN,RUXOLITINIB,L1236,DB08597,DB08877,-0.5315,0
sulfasalazine,RUXOLITINIB,L1236,DB00795,DB08877,-0.4805,0
Sirolimus,Ruxolitinib,L1236,DB00877,DB08877,-0.404,0
FLUTAMIDE,RUXOLITINIB,L1236,DB00499,DB08877,-0.3865,0
VEMURAFENIB,RUXOLITINIB,L1236,DB08881,DB08877,-0.329,0
RIMANTADINE,RUXOLITINIB,L1236,DB00478,DB08877,-0.311,0
PRALATREXATE,RUXOLITINIB,L1236,DB06813,DB08877,-0.307,0
berberine,RUXOLITINIB,L1236,DB04115,DB08877,-0.2915,0
ROFLUMILAST,RUXOLITINIB,L1236,DB01656,DB08877,-0.2785,0
Diltiazem hydrochloride,Ruxolitinib,L1236,DB00343,DB08877,-0.181,0
CHLOROXINE,RUXOLITINIB,L1236,DB01243,DB08877,-0.1445,0
amiodarone,RUXOLITINIB,L1236,DB01118,DB08877,-0.14,0
mefloquine,RUXOLITINIB,L1236,DB00358,DB08877,-0.122,0
Risedronate sodium,RUXOLITINIB,L1236,DB00884,DB08877,-0.0275,0
BICALUTAMIDE,RUXOLITINIB,L1236,DB01128,DB08877,0.027,1
MINOXIDIL,RUXOLITINIB,L1236,DB00350,DB08877,0.066,1
Raltitrexed,RUXOLITINIB,L1236,DB00293,DB08877,0.1695,1
Nebivolol hydrochloride,RUXOLITINIB,L1236,DB04861,DB08877,0.202,1
